product_id,slug,name,short_description,category,subcategory,price,mrp,supplier_price,margin,image_1_drive_id,image_2_drive_id,image_3_drive_id,image_alt,material,dimensions,best_for,features,whats_in_box,stock_status,featured,visible,sort_order,tags,source_url,demand_signal
GS-KIT-012,under-shelf-cabinet-basket,Under-Shelf Cabinet Basket,Slide-on basket to add extra space under a shelf.,Kitchen Organizers,Cabinet Storage,299,449,220,79,,,,Under-Shelf Cabinet Basket for Indian homes,Metal / coated wire,Approx. 28 x 20 x 12 cm,"Kitchen cabinets, cupboards",Adds extra layer|No drilling needed|Good for packets and wraps,1 under-shelf basket,in_stock,no,yes,11,"kitchen,cabinet,basket,under-499",https://www.meesho.com/organizer/pl/43x,Meesho organizer page lists shelf organizers and under-shelf basket style products as common organizer types.
GS-KIT-013,expandable-cutlery-drawer-organizer,Expandable Cutlery Drawer Organizer,"Adjustable tray for spoons, knives and forks.",Kitchen Organizers,Drawer Storage,649,899,547,102,,,,Expandable Cutlery Drawer Organizer for Indian homes,Plastic / bamboo look,Expandable size,"Kitchen drawer, cutlery storage",Expandable compartments|Keeps cutlery sorted|Premium drawer look,1 drawer organizer tray,in_stock,no,yes,12,"kitchen,drawer,cutlery",https://www.meesho.com/kepzell-silverware-organizer-expandable-kitchen-drawer-organizer-adjustable-utensil-organizer-cutlery-tray-for-forks-knives-multipurpose-kitchen-organizers-and-storage-solution/p/d0or2h,Meesho product found around ₹547; drawer organizers category highlights kitchen drawer use.
GS-KIT-014,multi-purpose-drawer-divider-set,Multi-Purpose Drawer Divider Set,"Divider trays for kitchen, desk, makeup and bathroom drawers.",Home Storage,Drawer Storage,349,499,273,76,,,,Multi-Purpose Drawer Divider Set for Indian homes,Plastic,Mixed tray sizes,"Kitchen drawers, desks, vanity storage",Multi-size trays|Reusable in many rooms|Keeps small items sorted,Set of drawer trays,in_stock,no,yes,13,"drawer,storage,organizer,under-499",https://www.meesho.com/drawer-organisers/pl/adq,"Meesho drawer-organizer category covers kitchen, desk, makeup and wardrobe drawer use."
GS-KIT-015,two-tier-under-sink-pullout-rack,2-Tier Under-Sink Pull-Out Rack,Sliding two-tier organizer for under-sink storage.,Kitchen Organizers,Under Sink,429,599,329,100,,,,2-Tier Under-Sink Pull-Out Rack for Indian homes,Plastic,Approx. 35 x 20 x 30 cm,"Under-sink, bathroom cabinets",Pull-out lower basket|Uses vertical space|Good for cleaners and bottles,1 two-tier under-sink rack,in_stock,yes,yes,14,"kitchen,bathroom,under-sink,under-499",https://www.meesho.com/2-tier-under-sink-organizer-multipurpose-kitchen-bathroom-storage-rack-with-sliding-drawer-plastic/p/dpb7i9,Exact Meesho listing found around ₹329; under-sink rack pages stress compact space utilization.
GS-KIT-017,gas-area-seasoning-rack,Gas Area Seasoning Rack,"Compact rack for oil, salt and daily-use seasonings.",Kitchen Organizers,Gas Area,299,449,220,79,,,,Gas Area Seasoning Rack for Indian homes,Metal / plastic,Approx. 30 x 12 x 15 cm,"Gas stove side, cooking counter",Keeps daily items together|Compact design|Easy access while cooking,1 seasoning rack,in_stock,no,yes,15,"kitchen,gas,oil,spice,under-499",https://www.meesho.com/kitchen-racks-holders/pl/3nr,Kitchen racks/holders pages emphasize keeping cooking essentials accessible and organized.
GS-KIT-018,plate-rack-dish-stand,Plate Rack Dish Stand,Simple plate stand for plates and lids.,Kitchen Organizers,Dish Rack,249,399,175,74,,,,Plate Rack Dish Stand for Indian homes,Plastic / metal,Approx. 24 x 14 x 12 cm,"Dish drying, plate storage",Keeps plates upright|Good for small counters|Easy to clean,1 plate rack,in_stock,no,yes,16,"kitchen,plate-rack,dish,under-299",https://www.meesho.com/kitchen-storage-organisers/pl/672t,Meesho kitchen storage copy highlights kitchen plate racks and dish stands.
GS-KIT-019,two-tier-countertop-organizer,2-Tier Countertop Organizer,"Multipurpose stand for spice, bathroom or vanity items.",Kitchen Organizers,Countertop,849,1199,736,113,,,,2-Tier Countertop Organizer for Indian homes,Metal,Approx. 30 x 18 x 32 cm,"Kitchen counter, vanity, bathroom",Premium two-tier look|Multi-room use|Good for bottles and jars,1 two-tier organizer,in_stock,no,yes,17,"countertop,spice,bathroom,vanity",https://www.meesho.com/white-2-tier-gold-metal-countertop-organizer-multipurpose-storage-stand-for-bathroom-vanity-makeup-tray-and-kitchen-spice-rack/p/5bbimp,Meesho exact listing found around ₹736 for kitchen spice rack/bathroom vanity use.
GS-FRG-001,fridge-storage-box-set-6,Fridge Storage Box Set of 6,"Stackable boxes for fruits, vegetables and leftovers.",Fridge Organizers,Fridge Boxes,349,499,242,107,,,,Fridge Storage Box Set of 6 for Indian homes,Plastic,1500 ml each,"Fridge organization, vegetable storage",Stackable boxes|Drain plate style|Helps separate food items,Set of 6 fridge boxes,in_stock,yes,yes,18,"fridge,storage,box,under-499",https://www.meesho.com/fridge-storage-boxes-set-of-6-fridge-organizer-with-removable-drain-plate-and-lid-stackable-fridge-storage-containers-plastic-freezer-storage-containers-for-fish-meat-vegetables-fruits1500ml/p/5804cb,Exact Meesho page showed very high demand: 47k+ ratings and 18k+ reviews around ₹242.
GS-FRG-002,fridge-side-door-organizer-pack-8,Fridge Side Door Organizer Pack of 8,Small organizers for fridge door and pantry use.,Fridge Organizers,Door Storage,279,399,188,91,,,,Fridge Side Door Organizer Pack of 8 for Indian homes,Plastic,1000 ml pack,"Fridge door, sauces, small vegetables",Pack of 8|Compact bins|Can be used in pantry too,Pack of 8 fridge door organizers,in_stock,yes,yes,19,"fridge,door,organizer,under-299",https://www.meesho.com/premium-fridge-storage-space-saving-refrigerator-side-door-organizer-1000-ml-pack-of-8/p/7f6fwi,Meesho product found around ₹188 with 4.3 rating and 650+ ratings signal.
GS-FRG-003,clear-fridge-bin-set-3,Clear Fridge Bin Set of 3,Transparent bins for efficient fridge space management.,Fridge Organizers,Fridge Bins,429,599,319,110,,,,Clear Fridge Bin Set of 3 for Indian homes,Plastic,Approx. 5 liter bins,"Fridge shelves, fruits, packets",Transparent view|Stack-friendly|Easy to clean,Set of 3 fridge bins,in_stock,no,yes,20,"fridge,transparent,bins,under-499",https://www.meesho.com/stysol-polypropylene-fridge-storage-boxes-fridge-organizers-storage-box-set-with-lid-3-bins-for-efficient-fridge-organizer-space-saving-fridge-storage-containers-5-litertransparent/p/762q6q,Meesho product found around ₹319 with 4.3 rating and 900+ ratings signal.
GS-FRG-004,fridge-storage-containers-pack-4,Fridge Storage Containers Pack of 4,Lid containers to keep fruits and vegetables fresher.,Fridge Organizers,Fridge Containers,349,499,251,98,,,,Fridge Storage Containers Pack of 4 for Indian homes,Plastic,1800 ml each,"Vegetables, fruits, leftovers",Secure lids|Drain plate style|Organized fridge shelves,Pack of 4 fridge containers,in_stock,no,yes,21,"fridge,containers,under-499",https://www.meesho.com/fridge-storage-containers-pack-of-4-fridge-organizer-with-removable-drain-plate-secure-sealing-lids-fridge-storage-boxes-keep-fruits-vegetables-fresher-container-box-1800-ml/p/7sj9lw,Meesho product found around ₹251 with 4.1 rating and recent reviews.
GS-FRG-005,pull-out-fridge-tray-pack-4,Pull-Out Fridge Tray Pack of 4,Hanging-style trays to use unused fridge shelf space.,Fridge Organizers,Fridge Tray,329,449,248,81,,,,Pull-Out Fridge Tray Pack of 4 for Indian homes,Plastic,Approx. 100 ml tray listed,"Fridge shelves, packets, small items",Pull handle|Uses shelf gap|Also works for bathroom accessories,Pack of 4 fridge trays,in_stock,no,yes,22,"fridge,tray,space-saving,under-499",https://www.meesho.com/newon-4-pcs-plastic-fridge-space-saver-organizer-storage-rack-tray-box-refrigerator-storage-organisers-for-fruits-vegetables-cold-drink-100-ml-plastic-container-storage-basket/p/1yy5gv,"Meesho listing says fridge organizer bins keep condiments, drinks and produce accessible."
GS-FRG-006,egg-storage-fridge-box,Egg Storage Fridge Box,Dedicated egg box for safer fridge storage.,Fridge Organizers,Egg Storage,199,299,135,64,,,,Egg Storage Fridge Box for Indian homes,Plastic,Approx. 12 egg capacity,"Eggs, fridge door/shelf",Protects eggs|Keeps shelf neat|Compact daily-use product,1 egg storage box,in_stock,no,yes,23,"fridge,egg,storage,under-299",https://www.meesho.com/home-storage-organization/pl/671j,Home storage guidance emphasizes stackable boxes and kitchen organizers for pantry/fridge organization.
GS-FRG-007,vegetable-drain-basket-container,Vegetable Drain Basket Container,Wash-and-store basket for vegetables and fruits.,Fridge Organizers,Vegetable Storage,249,399,175,74,,,,Vegetable Drain Basket Container for Indian homes,Plastic,Approx. 1.5 liter,"Vegetables, fruits, fridge use",Drain basket insert|Easy rinse and store|Keeps produce separated,1 vegetable drain container,in_stock,no,yes,24,"fridge,vegetable,basket,under-299",https://www.meesho.com/home-kitchen/pl/66zs,"Meesho home/kitchen page highlights kitchen products, storage and affordable utility items."
GS-BTH-001,plastic-bathroom-corner-shelf,Plastic Bathroom Corner Shelf,Waterproof corner shelf for shampoo and soap bottles.,Bathroom Organizers,Corner Shelf,249,399,170,79,,,,Plastic Bathroom Corner Shelf for Indian homes,Plastic,Approx. 24 x 24 x 8 cm,"Small bathrooms, rented homes",Corner design|Water-resistant|Easy installation,1 bathroom corner shelf,in_stock,yes,yes,25,"bathroom,shelf,corner,under-299",https://www.meesho.com/plastic-bath-shelves/pl/733,"Meesho bath-shelf category highlights waterproof, easy-install and space-saving corner/wall designs."
GS-BTH-002,no-drill-bathroom-wall-shelf,No-Drill Bathroom Wall Shelf,Adhesive wall shelf for daily bathroom products.,Bathroom Organizers,Wall Shelf,299,449,220,79,,,,No-Drill Bathroom Wall Shelf for Indian homes,Plastic,Approx. 30 x 12 x 8 cm,"Tiles, rented bathrooms",No drilling|Holds daily essentials|Clean wall-mounted look,1 adhesive bathroom shelf,in_stock,yes,yes,26,"bathroom,no-drill,shelf,under-499",https://www.meesho.com/plastic-bath-shelves/pl/733,Meesho bath shelf page says many options use adhesive stickers/suction cups without drilling.
GS-BTH-003,toothbrush-holder-stand,Toothbrush Holder Stand,"Compact holder for toothbrushes, paste and razors.",Bathroom Organizers,Toothbrush Holder,199,299,130,69,,,,Toothbrush Holder Stand for Indian homes,Plastic,Approx. 18 x 8 x 10 cm,"Wash basin, family bathrooms",Separates toothbrushes|Easy to clean|Compact basin storage,1 toothbrush holder,in_stock,no,yes,27,"bathroom,toothbrush,holder,under-299",https://www.meesho.com/plastic-bath-shelves/pl/733,"Bathroom rack category recommends storing daily essentials like lotions, soaps and skincare on accessible shelves."
GS-BTH-004,adhesive-soap-dish-holder,Adhesive Soap Dish Holder,Wall-mounted soap tray for cleaner wash area.,Bathroom Organizers,Soap Holder,149,249,90,59,,,,Adhesive Soap Dish Holder for Indian homes,Plastic,Approx. 13 x 9 x 4 cm,"Bathrooms, wash basins, kitchen sink",No-drill mounting|Drainage design|Keeps soap dry,1 soap dish holder,in_stock,no,yes,28,"bathroom,soap,adhesive,under-299",https://www.meesho.com/plastic-bath-shelves/pl/733,"Meesho bath-shelf category highlights waterproof, easy-install and space-saving corner/wall designs."
GS-BTH-005,two-tier-shampoo-rack,2-Tier Shampoo Rack,"Double-layer rack for shampoo, body wash and skincare.",Bathroom Organizers,Shampoo Rack,399,599,300,99,,,,2-Tier Shampoo Rack for Indian homes,Plastic / metal,Approx. 30 x 12 x 32 cm,"Family bathrooms, small shower areas",Two-layer capacity|Wall or corner use|Organizes tall bottles,1 two-tier bathroom rack,in_stock,yes,yes,29,"bathroom,shampoo,rack,under-499",https://www.meesho.com/plastic-bath-shelves/pl/733,Meesho plastic bath shelf page highlights multi-tier units and space-saving wall/corner designs.
GS-BTH-006,rust-proof-metal-bath-shelf,Rust-Proof Metal Bath Shelf,Metal bathroom shelf for premium durable storage.,Bathroom Organizers,Metal Shelf,499,699,390,109,,,,Rust-Proof Metal Bath Shelf for Indian homes,Stainless steel / coated metal,Approx. 30 x 12 x 8 cm,"Wet bathrooms, heavy bottle storage",Rust-resistant style|Strong build|Premium bathroom look,1 metal bath shelf,in_stock,no,yes,30,"bathroom,metal,shelf,under-499",https://www.meesho.com/metal-bath-shelves/pl/732,Meesho metal bath shelf category says stainless/coated options are designed for humid bathrooms.
GS-BTH-007,foldable-laundry-basket,Foldable Laundry Basket,Lightweight basket for clothes and bathroom laundry.,Bathroom Organizers,Laundry,349,499,260,89,,,,Foldable Laundry Basket for Indian homes,Plastic / fabric,Approx. 35 x 35 x 45 cm,"Laundry corners, hostels, rented rooms",Foldable storage|Lightweight|Useful for bathrooms and bedrooms,1 laundry basket,in_stock,no,yes,31,"laundry,bathroom,storage,under-499",https://www.meesho.com/plastic-bath-shelves/pl/733,Bathroom shelf page links laundry baskets as useful related bathroom setup products.
GS-HOM-001,self-adhesive-wall-hooks-10-plus-10,Self-Adhesive Wall Hooks 10+10,"Heavy-duty transparent hooks for kitchen, bathroom and bedroom.",Home Storage,Hooks,179,299,105,74,,,,Self-Adhesive Wall Hooks 10+10 for Indian homes,Plastic,Approx. 10 x 10 cm listed,"No-drill towel, bag and utensil hanging",Waterproof adhesive|No drilling|Useful across rooms,10 hooks + 10 adhesive pads,in_stock,yes,yes,32,"hooks,adhesive,bathroom,kitchen,under-299",https://www.meesho.com/self-adhesive-wall-hooks-heavy-duty-sticky-hooks-for-hanging-waterproof-transparent-adhesive-hooks-for-wall-10screw10hook/p/4hqlo6,Exact Meesho listing showed 37k+ ratings and 14k+ reviews around ₹105.
GS-HOM-002,premium-adhesive-wall-hooks-20-pcs,Premium Adhesive Wall Hooks 20 pcs,No-drill wall hooks for quick home organization.,Home Storage,Hooks,199,299,110,89,,,,Premium Adhesive Wall Hooks 20 pcs for Indian homes,Plastic,Pack of 20,"Kitchen, bathroom, office, rented home",Pack of 20|No residue style|Waterproof use case,20 adhesive hooks,in_stock,yes,yes,33,"hooks,adhesive,under-299",https://www.meesho.com/20-pcs-premium-adhesive-wall-hooks-for-easy-installation-heavy-duty-self-adhesive-hooks-for-home-and-office-decorative-removable-wall-hooks-no-drilling-required-space-saving-adhesive-hooks-for-quick-organization-waterproof-adhesive-hooks-for-bathroom-and-kitchen-use/p/7yevw9,Exact Meesho listing showed 6.9k+ ratings and 2.6k+ reviews around ₹110.
GS-HOM-003,rotating-ceiling-hooks-pack-4,360° Rotating Adhesive Hooks Pack of 4,"Rotating hooks for ceiling, bathroom and kitchen hanging.",Home Storage,Hooks,199,299,140,59,,,,360° Rotating Adhesive Hooks Pack of 4 for Indian homes,Plastic,Pack of 4,"Hanging small baskets, towels, keys",360-degree rotation|Waterproof use case|No drilling required,Pack of 4 rotating hooks,in_stock,no,yes,34,"hooks,rotating,adhesive,under-299",https://www.meesho.com/4-pack-360rotating-ceiling-adhesive-hookwall-adhesive-hookswaterproof-bathroom-kitchen-heavy-duty-self-adhesive-hooks/p/7v8mbr,Meesho listing found with 4.2 rating and no-drill bathroom/kitchen use positioning.
GS-WRD-001,cloth-organizer-pack-2,Cloth Organizer Pack of 2,"Foldable storage boxes for sarees, shirts and seasonal clothes.",Wardrobe Organizers,Cloth Storage,379,549,289,90,,,,Cloth Organizer Pack of 2 for Indian homes,Fabric / non-woven,Pack of 2,"Wardrobes, cupboards, seasonal storage",Foldable boxes|Clear cupboard organization|Good for sarees and shirts,Pack of 2 cloth organizers,in_stock,yes,yes,35,"wardrobe,cloth-storage,saree,under-499",https://www.meesho.com/rivon-cloth-organizer-storage-box-saree-cover-storage-box-for-cloth-wardrobe-organizer-for-clothes-storage-shirt-cloth-cover-pack-of-2pcs/p/63irbk,Exact Meesho listing showed 11k+ ratings and 5k+ reviews around ₹289.
GS-WRD-002,66l-clothes-storage-box-pack-3,66L Clothes Storage Box Pack of 3,Large foldable boxes with handle and clear window.,Wardrobe Organizers,Large Storage,1099,1499,926,173,,,,66L Clothes Storage Box Pack of 3 for Indian homes,Oxford fabric / steel frame,66 liter each,"Blankets, sarees, winter clothes",Large capacity|Clear window|Handle for easy movement,Pack of 3 storage boxes,in_stock,no,yes,36,"wardrobe,large-storage,clothes",https://www.meesho.com/clothes-organiser-for-wardrobe-66-liter-large-storage-box-foldable-steel-frame-wardrobe-organizer-cloth-box-with-zipper-with-clear-window-and-handle-organizer-pack-of-3/p/6xkxe4,Meesho product found around ₹926; large wardrobe organizer format suits high-value bundles.
GS-WRD-003,saree-cover-storage-set,Saree Cover Storage Set,Protective covers for sarees and folded clothes.,Wardrobe Organizers,Saree Storage,249,399,175,74,,,,Saree Cover Storage Set for Indian homes,Non-woven fabric,Mixed sizes,"Saree stacks, cupboard shelves",Protects clothes|Easy to stack|Budget wardrobe upgrade,1 saree cover storage set,in_stock,no,yes,37,"wardrobe,saree,cover,under-299",https://www.meesho.com/cloth-box-storage/pl/75k,"Meesho cloth-box storage category highlights wardrobe organizers for sarees, shirts and accessories."
GS-WRD-004,closet-shelf-divider-set,Closet Shelf Divider Set,Divider system to separate clothes on cupboard shelves.,Wardrobe Organizers,Shelf Divider,299,449,220,79,,,,Closet Shelf Divider Set for Indian homes,Plastic,Pack of 4,"Cupboards, shirts, towels",Creates shelf sections|Improves visibility|Useful for small wardrobes,Set of shelf dividers,in_stock,no,yes,38,"wardrobe,divider,under-499",https://www.meesho.com/home-storage-organization/pl/671j,Meesho home storage FAQ recommends shelf dividers and closet organization systems.
GS-WRD-005,shoe-organizer-rack,Compact Shoe Organizer Rack,Space-saving rack for footwear near door or cupboard.,Wardrobe Organizers,Shoe Storage,499,699,390,109,,,,Compact Shoe Organizer Rack for Indian homes,Plastic / metal,3 tier approx.,"Entryway, wardrobes, rented rooms",Vertical shoe storage|Compact footprint|Easy to assemble,1 shoe rack,in_stock,no,yes,39,"shoe,wardrobe,storage,under-499",https://www.meesho.com/organizer/pl/43x,Meesho organizer page highlights shoe organizers for entryway and closet storage.
GS-WRD-006,hanging-wardrobe-organizer,Hanging Wardrobe Organizer,Hanging shelf organizer for folded clothes and accessories.,Wardrobe Organizers,Hanging Storage,399,599,300,99,,,,Hanging Wardrobe Organizer for Indian homes,Fabric,Approx. 4 shelves,"Wardrobe rods, hostels, rented rooms",Uses vertical closet space|No tools needed|Good for daily clothes,1 hanging organizer,in_stock,no,yes,40,"wardrobe,hanging,storage,under-499",https://www.meesho.com/home-storage-organization/pl/671j,Meesho home storage page suggests hanging organizers and slim hangers for small closets.
GS-HOM-004,transparent-drawer-organizer-16-pcs,Transparent Drawer Organizer 16 pcs,"Modular trays for cosmetics, jewelry, office and kitchen drawers.",Home Storage,Drawer Trays,499,699,390,109,,,,Transparent Drawer Organizer 16 pcs for Indian homes,Plastic,16 pcs mixed,"Drawers, vanity, office desk, kitchen",Transparent trays|Multiple sizes|Multi-room use,16 drawer organizer trays,in_stock,yes,yes,41,"drawer,vanity,kitchen,office,under-499",https://www.meesho.com/drawer-organizer-traymulti-purpose-drawers-organisersdressing-table-organiser-make-up-organiserperfect-for-cosmetics-jewelry-kitchen-and-bathroom-16-pcs-transparent/p/995umm,Exact Meesho listing showed 4.4 rating with 1.2k+ ratings/500+ reviews around ₹390.
GS-HOM-005,desk-drawer-organizer-trays,Desk Drawer Organizer Trays,"Small trays for pens, clips, cables and office items.",Home Storage,Office Storage,349,499,273,76,,,,Desk Drawer Organizer Trays for Indian homes,Plastic,Mixed tray sizes,"Work desk, study table, office drawers",Keeps small stationery sorted|Compact trays|Easy to rearrange,1 set of drawer trays,in_stock,no,yes,42,"office,drawer,storage,under-499",https://www.meesho.com/office-drawer-organisers/pl/998,Meesho office drawer category shows organizer trays with 4.4-4.5 ratings in search results.
GS-HOM-006,plastic-storage-drawer-unit,Plastic Storage Drawer Unit,"Free-standing drawer unit for clothes, books and daily items.",Home Storage,Storage Drawers,899,1299,720,179,,,,Plastic Storage Drawer Unit for Indian homes,Plastic,3-4 layer approx.,"Bedroom, study, rented rooms",Separate drawers|Multipurpose use|Easy to move,1 storage drawer unit,in_stock,no,yes,43,"drawer,storage,home",https://www.meesho.com/storage-drawer-units/pl/9ea,Meesho storage-drawer category targets modern Indian homes where maximizing space is important.
GS-HOM-007,stackable-storage-baskets-set,Stackable Storage Baskets Set,"Open baskets for shelves, cupboards and utility corners.",Home Storage,Baskets,299,449,220,79,,,,Stackable Storage Baskets Set for Indian homes,Plastic,Pack/set mixed,"Cupboards, pantry, kids items",Stackable option|Open access|Useful in many rooms,1 set of storage baskets,in_stock,no,yes,44,"basket,storage,home,under-499",https://www.meesho.com/organizer/pl/43x,"Meesho organizer page lists boxes, baskets and bins with strong review counts."
GS-UTL-001,manual-chopper-450ml-combo,Manual Chopper 450 ml Combo,"Hand-pull chopper for onion, garlic and quick prep.",Kitchen Utility,Food Prep,299,449,203,96,,,,Manual Chopper 450 ml Combo for Indian homes,Plastic / stainless steel blades,450 ml + 450 ml listing style,"Daily cooking, quick chopping",Manual operation|No electricity needed|Fast onion and vegetable prep,1 manual chopper combo,in_stock,yes,yes,45,"kitchen,chopper,utility,under-499",https://www.meesho.com/manual-chopper-vegetable-chopper-hand-chopper-mini-chopper-kitchen-chopper-food-chopper-onion-chopper-garlic-chopper-plastic-chopper-stainless-steel-chopper-hand-press-chopper-manual-food-processor-salad-chopper-fruit-chopper-vegetable-cutter-450-ml-450-ml/p/14hryl,Exact Meesho listing showed 18k+ ratings and 5k+ reviews around ₹203.
